Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
2016-09-28 18:20:00,EWR,ZRH,UA134,United Airlines,3932,08:10,,,Y,B,Boeing 767-400,,,"",3494,1678,5209
2016-09-28 05:52:00,DEN,EWR,UA667,United Airlines,1600,03:49,,,Y,B,Boeing 737-900,,,"",3751,3494,5209
2016-05-29 21:35:00,PNH,SIN,3K592,Jetstar Asia Airways,706,02:00,,,Y,L,AIRBUS A320-100/200,,,"",3034,3316,3021
2016-05-27 19:35:00,SIN,PNH,3K591,Jetstar Asia Airways,706,02:15,,,Y,L,AIRBUS A320-100/200,,,"",3316,3034,3021
2016-04-25 10:50:00,HKG,SIN,TR2063,Tiger Airways,1593,03:50,,,Y,L,AIRBUS A320-100/200,,,"",3077,3316,4936
2016-04-21 17:00:00,SIN,HKG,TR2068,Tiger Airways,1593,04:05,,,Y,L,AIRBUS A320-100/200,,,"",3316,3077,4936
2016-04-10 22:45:00,ZRH,SIN,LX178,Swiss International Air Lines,6400,12:35,,,Y,B,Airbus A340-300,,,"",1678,3316,4559
2016-04-01 21:55:00,EWR,ZRH,LX19,Swiss International Air Lines,3932,07:45,,,Y,B,Airbus A330-300,,,"",3494,1678,4559
2016-03-21 07:05:00,MSP,BOS,SY251,Sun Country Airlines,1120,02:45,,,Y,B,Boeing 737-700,,,"",3858,3448,4356
2016-03-16 20:05:00,DEN,MSP,UA669,United Airlines,678,01:57,,,Y,B,AIRBUS A320-100/200,,,"",3751,3858,5209
2016-03-16 16:29:00,MCK,DEN,ZK2996,Great Lakes Airlines,217,01:03,,,Y,B,Beechcraft 1900D,,,"",7068,3751,2607
2016-03-01 11:15:00,ABQ,DEN,WN2202,Southwest Airlines,349,01:20,,,Y,B,Boeing 737-700 (Winglets),,,"",4019,3751,4547
2016-02-29 08:20:00,LAS,ABQ,WN391,Southwest Airlines,485,01:25,,,Y,B,Boeing 737-700 (Winglets),,,"",3877,4019,4547
2016-02-25 22:53:00,SFO,LAS,UA455,United Airlines,412,01:37,,,Y,L,Boeing 737-900,,,"",3469,3877,5209
2016-02-23 18:20:00,NRT,SFO,UA838,United Airlines,5109,09:15,,,C,B,Boeing 747-400,,,"",2279,3469,5209
2016-02-23 07:15:00,SIN,NRT,UA804,United Airlines,3327,06:40,,,C,B,Boeing 777,,,"",3316,2279,5209
2016-02-09 13:30:00,MNL,SIN,5J805,Cebu Pacific,1474,03:30,,,Y,L,Airbus A330,,,"",2397,3316,1683
2016-02-09 07:55:00,PPS,MNL,Z2427,Zest Air,362,01:25,,,Y,L,AIRBUS A320-100/200,,,"",2433,2397,9764
2016-02-05 09:55:00,MNL,PPS,Z2424,Zest Air,362,01:25,,,Y,B,AIRBUS A320-100/200,,,"",2397,2433,9764
2016-02-04 18:25:00,SIN,MNL,5J806,Cebu Pacific,1474,03:40,,,Y,L,Airbus A330,,,"",3316,2397,1683
2016-01-25 18:25:00,NRT,SIN,UA803,United Airlines,3327,07:50,,,Y,L,Boeing 777,,,"",2279,3316,5209
2016-01-24 17:30:00,NRT,SIN,DL615,Delta Air Lines,3327,08:10,,,Y,L,Boeing 767-300 (winglets),,,"",2279,3316,2009
2016-01-21 07:15:00,SIN,NRT,UA804,United Airlines,3327,06:40,,,Y,L,Boeing 777,,,"",3316,2279,5209
2016-01-03 09:30:00,VTE,SIN,QV535,Lao Airlines,1153,02:55,,,Y,L,AIRBUS A320-100/200,,,"",3120,3316,3233
2016-01-02 18:35:00,LPQ,VTE,QV104,Lao Airlines,134,00:50,,,Y,L,Aerospatiale/Alenia ATR 72,,,"",3115,3120,3233
2015-12-25 17:00:00,VTE,LPQ,QV536,Lao Airlines,134,00:45,,,Y,L,AIRBUS A320-100/200,,,"",3120,3115,3233
2015-12-25 14:15:00,SIN,VTE,QV536,Lao Airlines,1153,02:55,,,Y,L,AIRBUS A320-100/200,,,"",3316,3120,3233
2015-11-10 13:55:00,TPE,SIN,TR2993,Tiger Airways,2001,04:55,,,Y,L,AIRBUS A320-100/200,,,"",2276,3316,4936
2015-11-06 16:35:00,SIN,TPE,IT512,Kingfisher Airlines,2001,04:50,,,Y,L,AIRBUS A320-100/200,,,"",3316,2276,3142
2015-10-13 00:15:00,ICN,SIN,SQ603,Singapore Airlines,2873,06:20,,,Y,B,Airbus A330-300,,,"",3930,3316,4435
2015-10-09 09:25:00,SIN,ICN,SQ16,Singapore Airlines,2873,06:20,,,Y,B,Boeing 777-300ER,,,"",3316,3930,4435
2015-09-28 16:45:00,DMK,SIN,FD351,Thai AirAsia,897,02:20,,,Y,L,AIRBUS A320-100/200,,,"",3157,3316,4947
2015-09-28 12:35:00,CNX,DMK,FD3442,Thai AirAsia,352,01:30,,,Y,L,AIRBUS A320-100/200,,,"",3931,3157,4947
2015-09-24 11:55:00,SIN,CNX,TR2176,Tiger Airways,1250,03:00,,,Y,L,AIRBUS A320-100/200,,,"",3316,3931,4936
2015-08-30 17:55:00,NRT,SIN,UA803,United Airlines,3327,07:10,,,F,B,Boeing 777,,,"",2279,3316,5209
2015-08-29 10:55:00,EWR,NRT,UA79,United Airlines,6713,14:00,,,C,B,Boeing 777,,,"",3494,2279,5209
2015-08-28 14:05:00,BTV,EWR,UA3868,United Airlines,266,01:30,,,F,B,De Havilland Canada DHC-8-400 Dash 8Q,,,"",3711,3494,5209
2015-08-15 17:57:00,IAD,DEN,UA1584,United Airlines,1448,03:15,,,Y,B,Boeing 737-800,,,"",3714,3751,5209
2015-08-15 11:55:00,ZRH,IAD,UA937,United Airlines,4144,09:17,,,C,B,Boeing 767-300,,,"",1678,3714,5209
2015-07-27 18:25:00,BCN,ZRH,LX1959,Swiss International Air Lines,531,01:45,,,Y,B,Airbus A321-100/200,,,"",1218,1678,4559
2015-07-22 19:59:00,EWR,BCN,UA120,United Airlines,3835,07:29,,,C,B,Boeing 767-400,,,"",3494,1218,5209
2015-07-06 10:26:00,DEN,BOS,WN443,Southwest Airlines,1748,03:53,,,Y,B,Boeing 737-800,,,"",3751,3448,4547
2015-07-02 12:34:00,ORD,DEN,UA775,United Airlines,885,02:34,,,Y,B,Boeing 757-200,,,"",3830,3751,5209
2015-07-02 08:20:00,BTV,ORD,UA3382,United Airlines,760,02:24,,,Y,B,Embraer RJ145 Amazon,,,"",3711,3830,5209
2015-06-21 22:47:00,EWR,BTV,UA4910,United Airlines,266,02:06,,,Y,B,De Havilland Canada DHC-8-400 Dash 8Q,,,"",3494,3711,5209
2015-06-21 17:29:00,ZRH,EWR,LX18,Swiss International Air Lines,3932,08:56,,,Y,B,Airbus A330-300,,,"",1678,3494,4559
2015-06-17 18:39:00,EWR,ZRH,UA992,United Airlines,3932,07:22,,,Y,B,Boeing 767-300,,,"",3494,1678,5209
2015-06-17 14:19:00,BTV,EWR,UA4894,United Airlines,266,01:22,,,Y,B,De Havilland Canada DHC-8-400 Dash 8Q,,,"",3711,3494,5209
2015-06-08 08:40:00,ORD,BTV,UA3473,United Airlines,760,02:09,,,Y,B,Embraer 170,,,"",3830,3711,5209
2015-06-08 05:50:00,MSP,ORD,UA479,United Airlines,333,01:30,,,Y,B,AIRBUS A320-100/200,,,"",3858,3830,5209
2015-06-03 17:05:00,EWR,MSP,UA4678,United Airlines,1005,03:14,,,Y,B,Embraer RJ135 / RJ140 / RJ145,,,"",3494,3858,5209
2015-06-03 10:15:00,ZRH,EWR,UA993,United Airlines,3932,09:05,,,C,B,Boeing 767-300,,,"",1678,3494,5209
2015-05-27 01:30:00,OTBD,ZRH,QR93,Qatar Airways,2790,06:15,,,Y,B,Boeing 787-8,,,"",2241,1678,4091
2015-05-26 21:20:00,SIN,OTBD,QR939,Qatar Airways,3856,07:35,,,Y,B,Airbus A350-900,,,"",3316,2241,4091
2015-05-17 21:20:00,NRT,SIN,UA803,United Airlines,3327,00:00,,,Y,B,,,,"",2279,3316,5209
2015-05-05 20:05:00,KNO,SIN,MI237,SilkAir,387,01:15,,,Y,B,Boeing 737-800,,,"",9935,3316,4750
2015-04-30 19:00:00,SIN,KNO,MI238,SilkAir,387,01:20,,,Y,B,Boeing 737-800,,,"",3316,9935,4750
2015-04-16 00:00:00,IAD,NRT,UA803,United Airlines,6734,21:00,,,C,B,,,,"",3714,2279,5209
2015-04-03 19:37:00,BTV,EWR,UA3869,United Airlines,266,01:28,,,Y,B,De Havilland Canada DHC-8-400 Dash 8Q,,,"",3711,3494,5209
2015-03-30 17:37:00,DEN,BOS,UA386,United Airlines,1748,03:50,,,Y,B,AIRBUS A320-100/200,,,"",3751,3448,5209
2015-03-30 12:20:00,MSP,DEN,UA583,United Airlines,678,01:52,,,Y,B,AIRBUS A320-100/200,,,"",3858,3751,5209
2015-03-25 13:15:00,DEN,MSP,WN363,Southwest Airlines,678,01:50,,,Y,B,Boeing 737-700 (Winglets),,,"",3751,3858,4547
2015-02-26 17:00:00,KEF,DEN,FI671,Icelandair,3556,07:55,,,Y,B,Boeing 757-200 (winglets),,,"",16,3751,2835
2015-02-25 13:20:00,CPH,KEF,FI205,Icelandair,1331,03:10,,,Y,B,Boeing 757-300,,,"",609,16,2835
2015-02-25 10:20:00,ZRH,CPH,SK602,Scandinavian Airlines System,589,01:45,,,Y,B,AIRBUS A320-100/200,,,"",1678,609,4319
2015-02-02 23:30:00,SIN,ZRH,,Unknown,6400,13:40,,,Y,L,,,,"",3316,1678,-1
2015-01-28 22:45:00,ZRH,SIN,,Unknown,6400,12:25,,,Y,L,,,,"",1678,3316,-1
2014-12-26 18:50:00,MAN,ZRH,LX381,Swiss International Air Lines,625,01:55,,,Y,L,AIRBUS A320-100/200,,,"",478,1678,4559
2014-12-19 17:00:00,ZRH,LHR,LX326,Swiss International Air Lines,489,01:50,,,Y,L,AIRBUS A320-100/200,,,"",1678,507,4559
2014-11-09 19:10:00,TXL,ZRH,AB8210,Air Berlin,409,01:25,,,Y,L,Airbus A321-100/200,,,"",351,1678,214
2014-11-07 21:25:00,ZRH,TXL,AB8175,Air Berlin,409,01:25,,,Y,L,AIRBUS A320-100/200,,,"",1678,351,214
2014-10-27 20:13:00,JFK,ZRH,DL407,Delta Air Lines,3918,07:42,,,Y,B,Boeing 767-300 (winglets),,,"",3797,1678,2009
2014-10-27 10:37:00,DEN,JFK,DL1075,Delta Air Lines,1620,03:48,,,Y,B,Boeing 737-800,,,"",3751,3797,2009
2014-10-17 18:50:00,JFK,DEN,DL2390,Delta Air Lines,1620,04:34,,,Y,B,Boeing 737-800,,,"",3797,3751,2009
2014-10-17 13:35:00,ZRH,JFK,DL208,Delta Air Lines,3918,09:12,,,Y,B,Boeing 767-300 (winglets),,,"",1678,3797,2009
2014-09-14 18:14:00,IAD,ZRH,UA52,United Airlines,4144,07:47,,,Y,B,Boeing 767-400,,,"",3714,1678,5209
2014-09-14 14:30:00,ATL,IAD,UA5933,United Airlines,533,01:46,,,Y,B,Embraer RJ135 / RJ140 / RJ145,,,"",3682,3714,5209
2014-09-07 20:00:00,EWR,ATL,UA5138,United Airlines,744,02:43,,,F,B,Embraer 170,,,"",3494,3682,5209
2014-08-22 14:20:00,ZRH,EWR,UA135,United Airlines,3932,09:18,,,Y,B,Boeing 767-400,,,"",1678,3494,5209
2014-08-09 20:10:00,TXL,ZRH,AB8174,Air Berlin,409,01:25,,,Y,B,Airbus Jet Jet,,,"",351,1678,214
2014-08-04 08:35:00,ZRH,TXL,AB8651,Air Berlin,409,01:25,,,Y,B,Airbus Industries A320...,,,"",1678,351,214
2014-06-23 09:45:00,AMS,ZRH,LX725,Swiss International Air Lines,374,01:15,,,Y,B,AIRBUS A320-100/200,,,"",580,1678,4559
2014-06-18 17:30:00,ZRH,AMS,LX734,Swiss International Air Lines,374,01:40,,,Y,B,AIRBUS A320-100/200,,,"",1678,580,4559
2014-06-08 15:25:00,IST,ZRH,TK1909,Turkish Airlines,1094,03:00,,,Y,B,Airbus A321-100/200,,,"",1701,1678,4951
2014-06-07 06:40:00,FRU,IST,TK349,Turkish Airlines,2317,06:00,,,Y,L,Boeing 737-800,,,"",2912,1701,4951
2014-06-01 21:15:00,IST,FRU,TK348,Turkish Airlines,2317,05:10,,,Y,L,Boeing 737-800,,,"",1701,2912,4951
2014-05-31 23:50:00,SIN,IST,TK67,Turkish Airlines,5383,11:08,,,Y,B,Airbus A330,,,"",3316,1701,4951
2014-05-28 22:16:00,DEL,SIN,9W20,Jet Airways,2583,05:54,,,Y,B,Boeing 737-800,,,"",3093,3316,3000
2014-05-25 19:28:00,SIN,DEL,9W17,Jet Airways,2583,06:05,,,Y,B,Boeing 737-800,,,"",3316,3093,3000
2014-03-31 17:30:00,TPE,SIN,TR2997,Tiger Airways,2001,04:45,,,Y,L,AIRBUS A320-100/200,,,"",2276,3316,4936
2014-03-28 08:30:00,SIN,TPE,TR2992,Tiger Airways,2001,04:40,,,Y,L,AIRBUS A320-100/200,,,"",3316,2276,4936
2014-03-18 08:05:00,KUL,SIN,AK601,AirAsia,184,01:00,,,Y,L,Boeing 737-800,,,"",3304,3316,576
2014-03-17 23:50:00,KTM,KUL,AK115,AirAsia,2032,04:45,,,Y,L,Boeing 737-800,,,"",3125,3304,576
2014-03-13 20:15:00,KUL,KTM,AK114,AirAsia,2032,04:50,,,Y,L,Boeing 737-800,,,"",3304,3125,576
2014-03-13 17:25:00,SIN,KUL,AK608,AirAsia,184,01:00,,,Y,L,Boeing 737-800,,,"",3316,3304,576
2014-02-01 19:35:00,ICN,SIN,SQ15,Singapore Airlines,2873,06:30,,,Y,B,Boeing 777-300ER,,,"",3930,3316,4435
2014-01-31 12:55:00,SFO,ICN,SQ15,Singapore Airlines,5642,12:40,,,Y,B,Boeing 777-300ER,,,"",3469,3930,4435
2014-01-31 08:15:00,DEN,SFO,F9657,Frontier Airlines,964,02:39,,,Y,B,Airbus A319,,,"",3751,3469,2468
2014-01-19 17:33:00,MCI,DEN,UA1088,United Airlines,531,01:47,,,Y,L,Boeing 737-900,,,"",3458,3751,5209
2014-01-15 15:39:00,DEN,MCI,UA4912,United Airlines,531,01:54,,,Y,L,De Havilland Canada DHC-8-400 Dash 8Q,,,"",3751,3458,5209
2014-01-15 11:56:00,AUS,DEN,UA3614,United Airlines,775,02:17,,,Y,L,Canadair RJ 700,,,"",3673,3751,5209
2014-01-12 15:10:00,DEN,AUS,F9216,Frontier Airlines,775,02:01,,,Y,L,AIRBUS A320-100/200,,,"",3751,3673,2468
2013-12-14 18:25:00,PHL,DEN,US851,US Airways,1552,04:26,,,Y,L,Airbus A321-100/200,,,"",3752,3751,5265
2013-12-14 10:15:00,ZRH,PHL,US711,US Airways,4011,09:30,,,Y,L,Boeing 767-200,,,"",1678,3752,5265
2013-11-24 23:35:00,SIN,ZRH,LX179,Swiss International Air Lines,6400,13:21,,,Y,B,Airbus A340-300,,,"",3316,1678,4559
2013-11-19 22:45:00,ZRH,SIN,LX178,Swiss International Air Lines,6400,12:22,,,Y,B,Airbus A340-300,,,"",1678,3316,4559
2013-11-11 06:25:00,BCN,ZRH,LX1951,Swiss International Air Lines,531,01:38,,,Y,B,Airbus A321-100/200,,,"",1218,1678,4559
2013-11-09 21:00:00,ZRH,BCN,LX1950,Swiss International Air Lines,531,01:26,,,Y,B,AIRBUS A320-100/200,,,"",1678,1218,4559
2013-10-16 01:50:00,OTBD,ZRH,QR61,Qatar Airways,2790,06:21,,,Y,B,788,,,"",2241,1678,4091
2013-10-15 21:20:00,SIN,OTBD,QR641,Qatar Airways,3856,07:29,,,Y,B,77L,,,"",3316,2241,4091
2013-10-15 09:55:00,HKT,SIN,FD2956,Thai AirAsia,608,01:50,,,Y,B,AIRBUS A320-100/200,,,"",3179,3316,4947
2013-10-12 13:15:00,SIN,HKT,FD2957,Thai AirAsia,608,02:05,,,Y,B,AIRBUS A320-100/200,,,"",3316,3179,4947
2013-09-25 00:45:00,OTBD,SIN,QR642,Qatar Airways,3856,07:50,,,Y,B,Boeing 777-300ER,,,"",2241,3316,4091
2013-09-24 15:40:00,ZRH,OTBD,QR64,Qatar Airways,2790,06:00,,,Y,B,788,,,"",1678,2241,4091
2013-08-04 19:00:00,LJU,ZRH,JP306,Adria Airways,291,01:15,,,Y,B,Canadair RJ 900,,,"",1569,1678,83
2013-07-29 10:35:00,FCO,DBV,U24915,easyJet,312,01:10,,,Y,B,Airbus A319,,,"",1555,1200,2297
2013-07-27 15:55:00,ATH,FCO,U24982,easyJet,674,02:05,,,Y,B,Airbus A319,,,"",3941,1555,2297
2013-07-23 07:00:00,MXP,JTR,U22959,easyJet,1077,02:40,,,Y,B,AIRBUS A320-100/200,,,"",1524,1479,2297
2013-07-01 09:40:00,BEG,ZRH,LX1413,Swiss International Air Lines,590,01:55,,,Y,B,AIRBUS A320-100/200,,,"",1739,1678,4559
2013-06-28 12:20:00,ZRH,BEG,LX1416,Swiss International Air Lines,590,01:40,,,Y,B,AIRBUS A320-100/200,,,"",1678,1739,4559
2013-05-20 19:45:00,WAW,ZRH,LX1353,Swiss International Air Lines,640,02:10,,,Y,B,Avro RJ100 Avroliner,,,"",679,1678,4559
2013-05-17 07:05:00,ZRH,WAW,LX1342,Swiss International Air Lines,640,01:55,,,Y,B,Avro RJ100 Avroliner,,,"",1678,679,4559
2013-04-02 01:20:00,SIN,ZRH,SQ346,Singapore Airlines,6400,12:40,,,Y,B,Airbus A380-800,,,"",3316,1678,4435
2013-03-28 10:45:00,ZRH,SIN,SQ345,Singapore Airlines,6400,12:15,,,Y,B,Airbus A380-800,,,"",1678,3316,4435
2013-03-15 21:25:00,AMS,MLH,U21050,easyJet,348,01:20,,,Y,B,,,,"",580,1423,2297
2013-02-17 08:45:00,OTBD,ZRH,QR63,Qatar Airways,2790,07:00,,,Y,B,Airbus A330-200,,,"",2241,1678,4091
2013-02-14 21:05:00,SIN,OTBD,QR643,Qatar Airways,3856,07:54,,,Y,B,77L,,,"",3316,2241,4091
2013-02-12 18:30:00,LOP,DPS,MZMZ66O7,Merpati Nusantara Airlines,75,00:45,,,Y,B,,,,"",8401,3940,3465
2013-02-09 08:05:00,DPS,LOP,MZMZ660o,Merpati Nusantara Airlines,75,00:45,,,Y,B,,,,"",3940,8401,3465
2013-02-08 18:35:00,SIN,DPS,JQ117,Jetstar Airways,1038,02:40,,,Y,B,AIRBUS A320-100/200,,,"",3316,3940,3052
2013-01-17 02:20:00,OTBD,SIN,QR642,Qatar Airways,3856,07:35,,,Y,B,Boeing 777-300ER,,,"",2241,3316,4091
2013-01-16 11:20:00,ZRH,OTBD,QR62,Qatar Airways,2790,05:55,,,Y,B,Airbus A330-300,,,"",1678,2241,4091
2013-01-03 17:45:00,IAD,ZRH,UA936,United Airlines,4144,08:10,,,Y,L,Boeing 767-300,,,"",3714,1678,5209
2013-01-03 14:20:00,JFK,IAD,UA5712,United Airlines,227,01:24,,,Y,L,Canadair Regional Jet,,,"",3797,3714,5209
2012-12-30 18:06:00,ORD,LGA,UA533,United Airlines,730,02:07,,,Y,L,AIRBUS A320-100/200,,,"",3830,3697,5209
2012-12-30 13:19:00,OMA,ORD,UA624,United Airlines,414,01:39,,,Y,L,AIRBUS A320-100/200,,,"",3454,3830,5209
2012-12-14 17:20:00,IAD,DEN,UA1593,United Airlines,1448,04:01,,,Y,L,Boeing 757-200,,,"",3714,3751,5209
2012-12-14 11:45:00,ZRH,IAD,UA937,United Airlines,4144,09:35,,,Y,L,Boeing 767-300,,,"",1678,3714,5209
2012-12-03 21:25:00,AMS,MLH,U21046,easyJet,348,01:20,,,Y,B,,,,"",580,1423,2297
2012-11-28 16:00:00,MLH,BRU,U21033,easyJet,266,01:10,,,Y,B,,,,"",1423,302,2297
2012-11-26 16:35:00,ATL,ZRH,DL66,Delta Air Lines,4677,09:09,,,Y,L,Boeing 767,,,"",3682,1678,2009
2012-11-26 10:30:00,DEN,ATL,DL1816,Delta Air Lines,1196,02:38,,,Y,L,Boeing 757,,,"",3751,3682,2009
2012-11-21 19:30:00,MSP,DEN,DL2323,Delta Air Lines,678,01:57,,,Y,L,McDonnell Douglas MD90,,,"",3858,3751,2009
2012-11-21 15:10:00,AMS,MSP,DL265,Delta Air Lines,4151,08:52,,,Y,L,Airbus A330-200,,,"",580,3858,2009
2012-11-21 11:50:00,ZRH,AMS,KL1958,KLM Royal Dutch Airlines,374,01:45,,,Y,L,Boeing 737-700 (Winglets),,,"",1678,580,3090
2012-10-29 08:50:00,LHR,ZRH,LX317,Swiss International Air Lines,489,01:50,,,Y,B,Airbus A321-100/200,,,"",507,1678,4559
2012-10-19 15:20:00,ZRH,LHR,LX324,Swiss International Air Lines,489,01:45,,,Y,B,AIRBUS A320-100/200,,,"",1678,507,4559
2012-10-01 01:05:00,OTBD,ZRH,QR61,Qatar Airways,2790,06:37,,,Y,B,Airbus A330-200,,,"",2241,1678,4091
